RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event,
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,18,HERNANES,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,14,ORELLANA,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,19,WILLIAN,,I106',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,15,BEAUSEJOUR,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,20,BERNARD,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,16,GUTI�RREZ,,I57',2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,21,J�,,I64' Y93',2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,19,FUENZALIDA,,,2014
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),N,23,MAICON,,,2014
255951,300186487,CHI,SAMPAOLI Jorge (ARG),N,22,PAREDES,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,1,OSPINA,GK,,2014
255951,300186491,URU,TABAREZ Oscar (URU),S,1,F. MUSLERA,GK,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,2,C. ZAPATA,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),S,3,D. GODIN,C,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,3,YEPES,C,,2014
255951,300186491,URU,TABAREZ Oscar (URU),S,6,A. PEREIRA,,O53',2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,6,C. SANCHEZ,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),S,7,C. RODRIGUEZ,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,7,P. ARMERO,,Y78',2014
255951,300186491,URU,TABAREZ Oscar (URU),S,10,D. FORLAN,,O53',2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,8,AGUILAR T.,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),S,13,J.M. GIMENEZ,,Y55',2014
