RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
293,995,POL,PIECHNICZEK Antoni (POL),S,7,Jan JALOCHA,,
262,2098,NED,MICHELS Rinus (NED),S,8,Jan JONGBLOED,GK,
308,674,POL,PIECHNICZEK Antoni (POL),N,9,Jan KARAS,,
322,355,TCH,VENGLOS Jozef (SVK),S,5,Jan KOCIAN,,
293,1012,TCH,VENGLOS Jozef (SVK),N,7,Jan KOZAK,,
231,1498,TCH,VYTLACIL Rudolf (TCH),S,2,Jan LALA,,
308,517,DEN,PIONTEK Sepp (GER),N,7,Jan MOLBY,,I80'
278,2253,SWE,ERICSON Georg (SWE),N,17,Jan MOLLER,,
250,1883,SWE,BERGMARK Orvar (SWE),S,20,Jan OLSSON,,
250,1770,TCH,MARKO Jozef (TCH),N,12,Jan PIVARNIK,,
278,2388,NED,HAPPEL Ernst (AUT),N,2,Jan POORTVLIET,,
220,1421,TCH,KOLSKY Karel (TCH),N,16,Jan POPLUHAR,,
206,1172,TCH,MEISSNER Vaclav (TCH),S,0,Jan RIHA,,
322,355,TCH,VENGLOS Jozef (SVK),S,1,Jan STEJSKAL,GK,
262,1952,POL,GORSKI Kazimierz (POL),S,2,Jan TOMASZEWSKI,GK,
308,674,POL,PIECHNICZEK Antoni (POL),N,8,Jan URBAN,,I56'
204,1133,NED,GLENDENNING Bob (ENG),N,0,Jan VAN DIEPENBEEK,,
250,1747,BEL,GOETHALS Raymond (BEL),N,17,Jan VERHEYEN,,
206,1150,POL,KALUZA Jozef (POL),N,0,Jan WASIEWICZ,,
322,151,NED,BEENHAKKER Leo (NED),S,6,Jan WOUTERS,,
250,1770,TCH,MARKO Jozef (TCH),N,15,Jan ZLOCHA,,
43950100,43950004,GER,VOELLER Rudi (GER),S,9,JANCKER,,G45' O67'
1014,8732,KOR,CHA Bum Kun (KOR),N,19,JANG D. I.,,
1014,8732,KOR,CHA Bum Kun (KOR),N,16,JANG H. S.,,I55'
97410100,97410010,CZE,BRUCKNER Karel (CZE),S,6,JANKULOVSKI,,
255931,300186510,NED,Louis VAN GAAL (NED),S,7,JANMAAT,,
204,1119,HUN,NADAS Odon (HUN),N,0,Janos DUDAS,,
231,1490,HUN,BAROTI Lajos (HUN),N,16,Janos FARKAS,,
231,1490,HUN,BAROTI Lajos (HUN),N,8,Janos GOROCS,,
97410100,97410001,GER,J�rgen KLINSMANN (GER),N,2,JANSEN,,
278,2351,POL,GMOCH Jacek (POL),N,13,Janusz KUPCEWICZ,,
255931,300186479,BEL,WILMOTS Marc (BEL),N,20,JANUZAJ,,
