Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,MatchID,Home Team Initials,Away Team Initials
1950,25 Jun 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,England,2,0,Chile, ,1,0,1192,ENG,CHI
1950,25 Jun 1950 - 15:00,Group 2,Durival de Brito,Spain,3,1,USA, ,0,1,1208,ESP,USA
1950,25 Jun 1950 - 15:00,Group 3,Pacaembu,Sweden,3,2,Italy, ,2,1,1219,SWE,ITA
1950,25 Jun 1950 - 15:00,Group 1,Independencia,Yugoslavia,3,0,Switzerland, ,0,0,1230,YUG,SUI
1950,28 Jun 1950 - 15:00,Group 1,Pacaembu,Brazil,2,2,Switzerland, ,2,1,1188,BRA,SUI
1950,28 Jun 1950 - 15:00,Group 1,Eucaliptos,Yugoslavia,4,1,Mexico, ,2,0,1225,YUG,MEX
1950,29 Jun 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Spain,2,0,Chile, ,2,0,1193,ESP,CHI
1950,29 Jun 1950 - 15:30,Group 3,Durival de Brito,Sweden,2,2,Paraguay, ,2,1,1228,SWE,PAR
1950,29 Jun 1950 - 15:00,Group 2,Independencia,USA,1,0,England, ,1,0,1202,USA,ENG
1950,01 Jul 1950 - 15:00,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Brazil,2,0,Yugoslavia, ,1,0,1191,BRA,YUG
1950,02 Jul 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Spain,1,0,England, ,0,0,1199,ESP,ENG
1950,02 Jul 1950 - 15:00,Group 3,Pacaembu,Italy,2,0,Paraguay, ,1,0,1218,ITA,PAR
1950,02 Jul 1950 - 15:00,Group 4,Independencia,Uruguay,8,0,Bolivia, ,4,0,1185,URU,BOL
1950,02 Jul 1950 - 15:40,Group 1,Eucaliptos,Switzerland,2,1,Mexico, ,2,0,1222,SUI,MEX
1950,02 Jul 1950 - 15:00,Group 2,Ilha do Retiro,Chile,5,2,USA, ,2,0,1194,CHI,USA
1950,09 Jul 1950 - 15:00,Group 6,Pacaembu,Uruguay,2,2,Spain, ,1,2,1207,URU,ESP
1950,09 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Brazil,7,1,Sweden, ,3,0,1189,BRA,SWE
1950,13 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Brazil,6,1,Spain, ,3,0,1186,BRA,ESP
1950,13 Jul 1950 - 15:00,Group 6,Pacaembu,Uruguay,3,2,Sweden, ,1,2,1231,URU,SWE
1950,16 Jul 1950 - 15:00,Group 6,Pacaembu,Sweden,3,1,Spain, ,2,0,1206,SWE,ESP
1950,16 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Uruguay,2,1,Brazil, ,0,0,1190,URU,BRA
1954,16 Jun 1954 - 18:00,Group 3,Wankdorf Stadium,Uruguay,2,0,Czechoslovakia, ,0,0,1315,URU,TCH
1954,16 Jun 1954 - 18:00,Group 3,Hardturm,Austria,1,0,Scotland, ,1,0,1236,AUT,SCO
1954,16 Jun 1954 - 18:00,Group 1,Charmilles,Brazil,5,0,Mexico, ,4,0,1249,BRA,MEX
1954,16 Jun 1954 - 18:00,Group 1,La Pontaise,Yugoslavia,1,0,France, ,1,0,1276,YUG,FRA
1954,17 Jun 1954 - 18:00,Group 2,Wankdorf Stadium,Germany FR,4,1,Turkey, ,1,1,1283,FRG,TUR
1954,17 Jun 1954 - 18:00,Group 2,Hardturm,Hungary,9,0,Korea Republic, ,4,0,1294,HUN,KOR
1954,17 Jun 1954 - 18:10,Group 4,St. Jakob,England,4,4,Belgium, ,0,0,1240,ENG,BEL
1954,17 Jun 1954 - 17:50,Group 4,La Pontaise,Switzerland,2,1,Italy, ,1,1,1300,SUI,ITA
1954,19 Jun 1954 - 16:50,Group 3,St. Jakob,Uruguay,7,0,Scotland, ,2,0,1313,URU,SCO
1954,19 Jun 1954 - 17:00,Group 3,Hardturm,Austria,5,0,Czechoslovakia, ,4,0,1238,AUT,TCH
1954,19 Jun 1954 - 17:10,Group 1,Charmilles,France,3,2,Mexico, ,1,0,1275,FRA,MEX
1954,19 Jun 1954 - 17:00,Group 1,La Pontaise,Brazil,1,1,Yugoslavia, ,0,0,1252,BRA,YUG
1954,20 Jun 1954 - 16:50,Group 2,St. Jakob,Hungary,8,3,Germany FR, ,3,1,1277,HUN,FRG
1954,20 Jun 1954 - 17:00,Group 2,Charmilles,Turkey,7,0,Korea Republic, ,4,0,1304,TUR,KOR
1954,20 Jun 1954 - 17:10,Group 4,Wankdorf Stadium,England,2,0,Switzerland, ,1,0,1263,ENG,SUI
1954,20 Jun 1954 - 17:00,Group 4,Comunale di Cornaredo,Italy,4,1,Belgium, ,1,0,1243,ITA,BEL
1954,23 Jun 1954 - 18:00,Group 2,Hardturm,Germany FR,7,2,Turkey, ,3,1,1284,FRG,TUR
1954,23 Jun 1954 - 18:00,Group 4,St. Jakob,Switzerland,4,1,Italy, ,1,0,1301,SUI,ITA
1954,26 Jun 1954 - 17:00,Quarter-finals,St. Jakob,Uruguay,4,2,England, ,2,1,1264,URU,ENG
1954,26 Jun 1954 - 17:00,Quarter-finals,La Pontaise,Austria,7,5,Switzerland, ,5,4,1237,AUT,SUI
1954,27 Jun 1954 - 17:00,Quarter-finals,Charmilles,Germany FR,2,0,Yugoslavia, ,1,0,1285,FRG,YUG
1954,27 Jun 1954 - 17:00,Quarter-finals,Wankdorf Stadium,Hungary,4,2,Brazil, ,2,1,1248,HUN,BRA
1954,30 Jun 1954 - 18:00,Semi-finals,St. Jakob,Germany FR,6,1,Austria, ,1,0,1233,FRG,AUT
1954,30 Jun 1954 - 18:00,Semi-finals,La Pontaise,Hungary,4,2,Uruguay,Hungary win after extra time ,0,0,1295,HUN,URU
1954,03 Jul 1954 - 17:00,Match for third place,Hardturm,Austria,3,1,Uruguay, ,1,1,1239,AUT,URU
1954,04 Jul 1954 - 17:00,Final,Wankdorf Stadium,Germany FR,3,2,Hungary, ,2,2,1278,FRG,HUN
1958,08 Jun 1958 - 14:00,Group 3,Rasunda Stadium,Sweden,3,0,Mexico, ,1,0,1415,SWE,MEX
1958,08 Jun 1958 - 19:00,Group 4,Nya Ullevi,Soviet Union,2,2,England, ,1,0,1372,URS,ENG
1958,08 Jun 1958 - 19:00,Group 1,Malmo Stadion,Argentina,1,3,Germany FR, ,1,2,1323,ARG,FRG
1958,08 Jun 1958 - 19:00,Group 3,Jarnvallen,Hungary,1,1,Wales, ,1,1,1407,HUN,WAL
1958,08 Jun 1958 - 19:00,Group 2,Idrottsparken,France,7,3,Paraguay, ,2,2,1386,FRA,PAR
1958,08 Jun 1958 - 19:00,Group 2,Arosvallen,Yugoslavia,1,1,Scotland, ,1,0,1434,YUG,SCO
1958,08 Jun 1958 - 19:00,Group 4,Rimnersvallen,Brazil,3,0,Austria, ,1,0,1326,BRA,AUT
1958,08 Jun 1958 - 19:00,Group 1,Orjans Vall,Northern Ireland,1,0,Czechoslovakia, ,1,0,1421,NIR,TCH
1958,11 Jun 1958 - 19:00,Group 4,Nya Ullevi,Brazil,0,0,England, ,0,0,1339,BRA,ENG
1958,11 Jun 1958 - 19:00,Group 3,Rasunda Stadium,Mexico,1,1,Wales, ,0,1,1418,MEX,WAL
1958,11 Jun 1958 - 19:00,Group 2,Idrottsparken,Paraguay,3,2,Scotland, ,2,1,1423,PAR,SCO
1958,11 Jun 1958 - 19:00,Group 2,Arosvallen,Yugoslavia,3,2,France, ,1,1,1388,YUG,FRA
1958,11 Jun 1958 - 19:00,Group 4,Ryavallen,Soviet Union,2,0,Austria, ,1,0,1332,URS,AUT
1958,11 Jun 1958 - 19:00,Group 1,Olympia Stadium,Germany FR,2,2,Czechoslovakia, ,0,2,1391,FRG,TCH
1958,11 Jun 1958 - 19:00,Group 1,Orjans Vall,Argentina,3,1,Northern Ireland, ,1,1,1324,ARG,NIR
1958,12 Jun 1958 - 19:00,Group 3,Rasunda Stadium,Sweden,2,1,Hungary, ,1,0,1406,SWE,HUN
1958,15 Jun 1958 - 14:00,Group 3,Rasunda Stadium,Sweden,0,0,Wales, ,0,0,1438,SWE,WAL
1958,15 Jun 1958 - 19:00,Group 4,Nya Ullevi,Brazil,2,0,Soviet Union, ,1,0,1344,BRA,URS
1958,15 Jun 1958 - 19:00,Group 1,Malmo Stadion,Germany FR,2,2,Northern Ireland, ,1,1,1389,FRG,NIR
1958,15 Jun 1958 - 19:00,Group 3,Jarnvallen,Hungary,4,0,Mexico, ,1,0,1403,HUN,MEX
1958,15 Jun 1958 - 19:00,Group 2,Tunavallen,Paraguay,3,3,Yugoslavia, ,1,2,1426,PAR,YUG
1958,15 Jun 1958 - 19:00,Group 2,Eyravallen,France,2,1,Scotland, ,2,0,1387,FRA,SCO
1958,15 Jun 1958 - 19:00,Group 4,Ryavallen,England,2,2,Austria, ,0,1,1327,ENG,AUT
1958,15 Jun 1958 - 19:00,Group 1,Olympia Stadium,Czechoslovakia,6,1,Argentina, ,3,0,1325,TCH,ARG
1958,17 Jun 1958 - 19:00,Group 4,Nya Ullevi,Soviet Union,1,0,England, ,0,0,1373,URS,ENG
1958,17 Jun 1958 - 19:00,Group 1,Malmo Stadion,Northern Ireland,2,1,Czechoslovakia,Northern Ireland win after extra time ,0,0,1422,NIR,TCH
1958,17 Jun 1958 - 19:00,Group 3,Rasunda Stadium,Wales,2,1,Hungary, ,0,1,1408,WAL,HUN
1958,19 Jun 1958 - 19:00,Quarter-finals,Nya Ullevi,Brazil,1,0,Wales, ,0,0,1345,BRA,WAL
1958,19 Jun 1958 - 19:00,Quarter-finals,Malmo Stadion,Germany FR,1,0,Yugoslavia, ,1,0,1392,FRG,YUG
1958,19 Jun 1958 - 19:00,Quarter-finals,Rasunda Stadium,Sweden,2,0,Soviet Union, ,0,0,1437,SWE,URS
1958,19 Jun 1958 - 19:00,Quarter-finals,Idrottsparken,France,4,0,Northern Ireland, ,1,0,1385,FRA,NIR
1958,24 Jun 1958 - 19:00,Semi-finals,Nya Ullevi,Sweden,3,1,Germany FR, ,1,1,1390,SWE,FRG
1958,24 Jun 1958 - 19:00,Semi-finals,Rasunda Stadium,Brazil,5,2,France, ,2,1,1340,BRA,FRA
1958,28 Jun 1958 - 17:00,Match for third place,Nya Ullevi,France,6,3,Germany FR, ,3,1,1382,FRA,FRG
1958,29 Jun 1958 - 15:00,Final,Rasunda Stadium,Brazil,5,2,Sweden, ,2,1,1343,BRA,SWE
1962,30 May 1962 - 15:00,Group 1,Carlos Dittborn,Uruguay,2,1,Colombia, ,0,1,1479,URU,COL
1962,30 May 1962 - 15:00,Group 3,Estadio Sausalito,Brazil,2,0,Mexico, ,0,0,1461,BRA,MEX
1962,30 May 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Argentina,1,0,Bulgaria, ,1,0,1447,ARG,BUL
1962,30 May 1962 - 15:00,Group 2,Nacional,Chile,3,1,Switzerland, ,1,1,1473,CHI,SUI
1962,31 May 1962 - 15:00,Group 1,Carlos Dittborn,Soviet Union,2,0,Yugoslavia, ,0,0,1563,URS,YUG
1962,31 May 1962 - 15:00,Group 3,Estadio Sausalito,Czechoslovakia,1,0,Spain, ,0,0,1498,TCH,ESP
1962,31 May 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Hungary,2,1,England, ,1,0,1490,HUN,ENG
1962,31 May 1962 - 15:00,Group 2,Nacional,Germany FR,0,0,Italy, ,0,0,1507,FRG,ITA
1962,02 Jun 1962 - 15:00,Group 1,Carlos Dittborn,Yugoslavia,3,1,Uruguay, ,2,1,1564,YUG,URU
1962,02 Jun 1962 - 15:00,Group 3,Estadio Sausalito,Brazil,0,0,Czechoslovakia, ,0,0,1462,BRA,TCH
1962,02 Jun 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,England,3,1,Argentina, ,2,0,1450,ENG,ARG
1962,02 Jun 1962 - 15:00,Group 2,Nacional,Chile,2,0,Italy, ,0,0,1472,CHI,ITA
1962,03 Jun 1962 - 15:00,Group 1,Carlos Dittborn,Soviet Union,4,4,Colombia, ,3,1,1478,URS,COL
1962,03 Jun 1962 - 15:00,Group 3,Estadio Sausalito,Spain,1,0,Mexico, ,0,0,1497,ESP,MEX
1962,03 Jun 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Hungary,6,1,Bulgaria, ,4,0,1470,HUN,BUL
1962,03 Jun 1962 - 15:00,Group 2,Nacional,Germany FR,2,1,Switzerland, ,1,0,1510,FRG,SUI
1962,06 Jun 1962 - 15:00,Group 1,Carlos Dittborn,Soviet Union,2,1,Uruguay, ,1,0,1562,URS,URU
1962,06 Jun 1962 - 15:00,Group 3,Estadio Sausalito,Brazil,2,1,Spain, ,0,1,1460,BRA,ESP
1962,06 Jun 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Hungary,0,0,Argentina, ,0,0,1451,HUN,ARG
1962,06 Jun 1962 - 15:00,Group 2,Nacional,Germany FR,2,0,Chile, ,1,0,1471,FRG,CHI
1962,07 Jun 1962 - 15:00,Group 1,Carlos Dittborn,Yugoslavia,5,0,Colombia, ,2,0,1480,YUG,COL
1962,07 Jun 1962 - 15:00,Group 3,Estadio Sausalito,Mexico,3,1,Czechoslovakia, ,2,1,1544,MEX,TCH
1962,07 Jun 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,England,0,0,Bulgaria, ,0,0,1464,ENG,BUL
1962,07 Jun 1962 - 15:00,Group 2,Nacional,Italy,3,0,Switzerland, ,1,0,1532,ITA,SUI
1962,10 Jun 1962 - 14:30,Quarter-finals,Carlos Dittborn,Chile,2,1,Soviet Union, ,2,1,1474,CHI,URS
1962,10 Jun 1962 - 14:30,Quarter-finals,Estadio Sausalito,Brazil,3,1,England, ,1,1,1459,BRA,ENG
1962,10 Jun 1962 - 14:30,Quarter-finals,Estadio El Teniente-Codelco,Czechoslovakia,1,0,Hungary, ,1,0,1525,TCH,HUN
1962,10 Jun 1962 - 14:30,Quarter-finals,Nacional,Yugoslavia,1,0,Germany FR, ,0,0,1511,YUG,FRG
1962,13 Jun 1962 - 14:30,Semi-finals,Estadio Sausalito,Czechoslovakia,3,1,Yugoslavia, ,0,0,1559,TCH,YUG
1962,13 Jun 1962 - 14:30,Semi-finals,Nacional,Brazil,4,2,Chile, ,2,1,1458,BRA,CHI
1962,16 Jun 1962 - 14:30,Match for third place,Nacional,Chile,1,0,Yugoslavia, ,0,0,1475,CHI,YUG
1962,17 Jun 1962 - 14:30,Final,Nacional,Brazil,3,1,Czechoslovakia, ,1,1,1463,BRA,TCH
1966,11 Jul 1966 - 19:30,Group 1,Wembley Stadium,England,0,0,Uruguay, ,0,0,1636,ENG,URU
1966,12 Jul 1966 - 19:30,Group 2,Hillsborough,Germany FR,5,0,Switzerland, ,3,0,1656,FRG,SUI
1966,12 Jul 1966 - 19:30,Group 3,Goodison Park,Brazil,2,0,Bulgaria, ,1,0,1596,BRA,BUL
1966,12 Jul 1966 - 19:30,Group 4,Ayresome Park,Soviet Union,3,0,Korea DPR, ,2,0,1710,URS,PRK
1966,13 Jul 1966 - 19:30,Group 1,Wembley Stadium,France,1,1,Mexico, ,0,0,1650,FRA,MEX
1966,13 Jul 1966 - 19:30,Group 3,Old Trafford Stadium,Portugal,3,1,Hungary, ,1,0,1675,POR,HUN
1966,13 Jul 1966 - 19:30,Group 2,Villa Park,Argentina,2,1,Spain, ,0,0,1578,ARG,ESP
1966,13 Jul 1966 - 19:30,Group 4,Roker Park Ground,Italy,2,0,Chile, ,1,0,1608,ITA,CHI
1966,15 Jul 1966 - 19:30,Group 1,White City,Uruguay,2,1,France, ,2,1,1653,URU,FRA
1966,15 Jul 1966 - 19:30,Group 2,Hillsborough,Spain,2,1,Switzerland, ,0,1,1641,ESP,SUI
1966,15 Jul 1966 - 19:30,Group 3,Goodison Park,Hungary,3,1,Brazil, ,1,1,1597,HUN,BRA
1966,15 Jul 1966 - 19:30,Group 4,Ayresome Park,Korea DPR,1,1,Chile, ,0,1,1609,PRK,CHI
1966,16 Jul 1966 - 15:00,Group 3,Old Trafford Stadium,Portugal,3,0,Bulgaria, ,2,0,1602,POR,BUL
1966,16 Jul 1966 - 15:00,Group 2,Villa Park,Germany FR,0,0,Argentina, ,0,0,1579,FRG,ARG
1966,16 Jul 1966 - 15:00,Group 4,Roker Park Ground,Soviet Union,1,0,Italy, ,0,0,1682,URS,ITA
1966,16 Jul 1966 - 19:30,Group 1,Wembley Stadium,England,2,0,Mexico, ,1,0,1634,ENG,MEX
1966,19 Jul 1966 - 16:30,Group 1,Wembley Stadium,Uruguay,0,0,Mexico, ,0,0,1689,URU,MEX
1966,19 Jul 1966 - 19:30,Group 2,Hillsborough,Argentina,2,0,Switzerland, ,0,0,1582,ARG,SUI
1966,19 Jul 1966 - 19:30,Group 3,Goodison Park,Portugal,3,1,Brazil, ,2,0,1598,POR,BRA
1966,19 Jul 1966 - 19:30,Group 4,Ayresome Park,Korea DPR,1,0,Italy, ,1,0,1679,PRK,ITA
1966,20 Jul 1966 - 19:30,Group 1,Wembley Stadium,England,2,0,France, ,1,0,1632,ENG,FRA
1966,20 Jul 1966 - 19:30,Group 3,Old Trafford Stadium,Hungary,3,1,Bulgaria, ,2,1,1599,HUN,BUL
1966,20 Jul 1966 - 19:30,Group 2,Villa Park,Germany FR,2,1,Spain, ,1,1,1637,FRG,ESP
1966,20 Jul 1966 - 19:30,Group 4,Roker Park Ground,Soviet Union,2,1,Chile, ,1,1,1610,URS,CHI
1966,23 Jul 1966 - 15:00,Quarter-finals,Wembley Stadium,England,1,0,Argentina, ,0,0,1577,ENG,ARG
1966,23 Jul 1966 - 15:00,Quarter-finals,Hillsborough,Germany FR,4,0,Uruguay, ,1,0,1660,FRG,URU
1966,23 Jul 1966 - 15:00,Quarter-finals,Roker Park Ground,Soviet Union,2,1,Hungary, ,1,0,1676,URS,HUN
1966,23 Jul 1966 - 15:00,Quarter-finals,Goodison Park,Portugal,5,3,Korea DPR, ,2,3,1702,POR,PRK
1966,25 Jul 1966 - 19:30,Semi-finals,Goodison Park,Germany FR,2,1,Soviet Union, ,1,0,1659,FRG,URS
1966,26 Jul 1966 - 19:30,Semi-finals,Wembley Stadium,England,2,1,Portugal, ,1,0,1635,ENG,POR
1966,28 Jul 1966 - 19:30,Match for third place,Wembley Stadium,Portugal,2,1,Soviet Union, ,1,1,1709,POR,URS
1966,30 Jul 1966 - 15:00,Final,Wembley Stadium,England,4,2,Germany FR,England win after extra time ,0,0,1633,ENG,FRG
1970,31 May 1970 - 12:00,Group 1,Estadio Azteca,Mexico,0,0,Soviet Union, ,0,0,1902,MEX,URS
1970,02 Jun 1970 - 16:00,Group 2,Cuauhtemoc,Uruguay,2,0,Israel, ,1,0,1881,URU,ISR
1970,02 Jun 1970 - 16:00,Group 4,Nou Camp - Estadio Le�n,Peru,3,2,Bulgaria, ,0,1,1780,PER,BUL
1970,02 Jun 1970 - 16:00,Group 3,Jalisco,England,1,0,Romania, ,0,0,1812,ENG,ROU
1970,03 Jun 1970 - 16:00,Group 2,Luis Dosal,Italy,1,0,Sweden, ,1,0,1883,ITA,SWE
1970,03 Jun 1970 - 16:00,Group 4,Nou Camp - Estadio Le�n,Germany FR,2,1,Morocco, ,0,1,1839,FRG,MAR
1970,03 Jun 1970 - 16:00,Group 3,Jalisco,Brazil,4,1,Czechoslovakia, ,1,1,1770,BRA,TCH
1970,03 Jun 1970 - 16:00,Group 1,Estadio Azteca,Belgium,3,0,El Salvador, ,1,0,1747,BEL,SLV
1970,06 Jun 1970 - 16:00,Group 2,Cuauhtemoc,Uruguay,0,0,Italy, ,0,0,1884,URU,ITA
1970,06 Jun 1970 - 16:00,Group 4,Nou Camp - Estadio Le�n,Peru,3,0,Morocco, ,0,0,1893,PER,MAR
1970,06 Jun 1970 - 16:00,Group 3,Jalisco,Romania,2,1,Czechoslovakia, ,0,1,1919,ROU,TCH
1970,06 Jun 1970 - 16:00,Group 1,Estadio Azteca,Soviet Union,4,1,Belgium, ,1,0,1753,URS,BEL
1970,07 Jun 1970 - 12:00,Group 2,Luis Dosal,Sweden,1,1,Israel, ,0,0,1880,SWE,ISR
1970,07 Jun 1970 - 12:00,Group 4,Nou Camp - Estadio Le�n,Germany FR,5,2,Bulgaria, ,2,1,1774,FRG,BUL
1970,07 Jun 1970 - 12:00,Group 3,Jalisco,Brazil,1,0,England, ,0,0,1764,BRA,ENG
1970,07 Jun 1970 - 12:00,Group 1,Estadio Azteca,Mexico,4,0,El Salvador, ,1,0,1820,MEX,SLV
1970,10 Jun 1970 - 16:00,Group 2,Cuauhtemoc,Sweden,1,0,Uruguay, ,0,0,1922,SWE,URU
1970,10 Jun 1970 - 16:00,Group 4,Nou Camp - Estadio Le�n,Germany FR,3,1,Peru, ,3,1,1840,FRG,PER
1970,10 Jun 1970 - 16:00,Group 3,Jalisco,Brazil,3,2,Romania, ,2,1,1769,BRA,ROU
1970,10 Jun 1970 - 16:00,Group 1,Estadio Azteca,Soviet Union,2,0,El Salvador, ,0,0,1823,URS,SLV
1970,11 Jun 1970 - 16:00,Group 2,Luis Dosal,Italy,0,0,Israel, ,0,0,1877,ITA,ISR
1970,11 Jun 1970 - 16:00,Group 4,Nou Camp - Estadio Le�n,Bulgaria,1,1,Morocco, ,1,0,1779,BUL,MAR
1970,11 Jun 1970 - 16:00,Group 3,Jalisco,England,1,0,Czechoslovakia, ,0,0,1813,ENG,TCH
1970,11 Jun 1970 - 16:00,Group 1,Estadio Azteca,Mexico,1,0,Belgium, ,1,0,1752,MEX,BEL
1970,14 Jun 1970 - 12:00,Quarter-finals,Luis Dosal,Italy,4,1,Mexico, ,1,1,1882,ITA,MEX
1970,14 Jun 1970 - 12:00,Quarter-finals,Nou Camp - Estadio Le�n,Germany FR,3,2,England,Germany FR win after extra time ,0,0,1811,FRG,ENG
1970,14 Jun 1970 - 12:00,Quarter-finals,Jalisco,Brazil,4,2,Peru, ,2,1,1768,BRA,PER
1970,14 Jun 1970 - 12:00,Quarter-finals,Estadio Azteca,Uruguay,1,0,Soviet Union,Uruguay win after extra time ,0,0,1925,URU,URS
1970,17 Jun 1970 - 16:00,Semi-finals,Jalisco,Brazil,3,1,Uruguay, ,1,1,1771,BRA,URU
1970,17 June 1970 - 16:00,Semi-finals,Estadio Azteca,Italy,4,3,Germany FR,Italy win after extra time ,0,0,1838,ITA,FRG
1970,20 Jun 1970 - 16:00,Match for third place,Estadio Azteca,Germany FR,1,0,Uruguay, ,1,0,1843,FRG,URU
1970,21 Jun 1970 - 12:00,Final,Estadio Azteca,Brazil,4,1,Italy, ,1,1,1765,BRA,ITA
1974,13 Jun 1974 - 17:00,Group 2,Waldstadion,Brazil,0,0,Yugoslavia, ,0,0,1986,BRA,YUG
1974,14 Jun 1974 - 16:00,Group 1,Olympiastadion,Germany FR,1,0,Chile, ,1,0,2003,FRG,CHI
1974,14 Jun 1974 - 19:30,Group 1,Volksparkstadion,German DR,2,0,Australia, ,0,0,1955,GDR,AUS
1974,14 Jun 1974 - 19:30,Group 2,Westfalenstadion,Zaire,0,2,Scotland, ,0,2,2176,ZAI,SCO
1974,15 Jun 1974 - 16:00,Group 3,Niedersachsenstadion,Uruguay,0,2,Netherlands, ,0,1,2098,URU,NED
1974,15 Jun 1974 - 16:00,Group 3,Rheinstadion,Sweden,0,0,Bulgaria, ,0,0,1995,SWE,BUL
1974,15 Jun 1974 - 18:00,Group 4,Olympiastadion,Italy,3,1,Haiti, ,0,0,2083,ITA,HAI
1974,15 Jun 1974 - 18:00,Group 4,Neckarstadion,Poland,3,2,Argentina, ,2,0,1952,POL,ARG
1974,18 Jun 1974 - 16:00,Group 1,Volksparkstadion,Australia,0,3,Germany FR, ,0,2,1954,AUS,FRG
1974,18 Jun 1974 - 19:30,Group 2,Waldstadion,Scotland,0,0,Brazil, ,0,0,1985,SCO,BRA
1974,18 Jun 1974 - 19:30,Group 1,Olympiastadion,Chile,1,1,German DR, ,0,0,2004,CHI,GDR
1974,18 Jun 1974 - 19:30,Group 2,Parkstadion,Yugoslavia,9,0,Zaire, ,6,0,2186,YUG,ZAI
1974,19 Jun 1974 - 19:30,Group 3,Westfalenstadion,Netherlands,0,0,Sweden, ,0,0,2097,NED,SWE
1974,19 Jun 1974 - 19:30,Group 3,Niedersachsenstadion,Bulgaria,1,1,Uruguay, ,0,0,1996,BUL,URU
1974,19 Jun 1974 - 19:30,Group 4,Olympiastadion,Haiti,0,7,Poland, ,0,5,2085,HAI,POL
1974,19 Jun 1974 - 19:30,Group 4,Neckarstadion,Argentina,1,1,Italy, ,1,1,1949,ARG,ITA
1974,22 Jun 1974 - 16:00,Group 2,Waldstadion,Scotland,1,1,Yugoslavia, ,0,0,2175,SCO,YUG
1974,22 Jun 1974 - 16:00,Group 1,Olympiastadion,Australia,0,0,Chile, ,0,0,1953,AUS,CHI
1974,22 Jun 1974 - 16:00,Group 2,Parkstadion,Zaire,0,3,Brazil, ,0,1,1987,ZAI,BRA
1974,22 June 1974 - 19:30,Group 1,Volksparkstadion,German DR,1,0,Germany FR, ,0,0,2062,GDR,FRG
1974,23 Jun 1974 - 16:00,Group 3,Westfalenstadion,Bulgaria,1,4,Netherlands, ,0,2,1990,BUL,NED
1974,23 Jun 1974 - 16:00,Group 4,Olympiastadion,Argentina,4,1,Haiti, ,2,0,1947,ARG,HAI
1974,23 Jun 1974 - 16:00,Group 3,Rheinstadion,Sweden,3,0,Uruguay, ,0,0,2181,SWE,URU
1974,23 Jun 1974 - 16:00,Group 4,Neckarstadion,Poland,2,1,Italy, ,2,0,2129,POL,ITA
1974,26 Jun 1974 - 16:00,Group B,Rheinstadion,Yugoslavia,0,2,Germany FR, ,0,1,2066,YUG,FRG
1974,26 Jun 1974 - 19:30,Group A,Niedersachsenstadion,Brazil,1,0,German DR, ,0,0,1982,BRA,GDR
1974,26 Jun 1974 - 19:30,Group A,Parkstadion,Netherlands,4,0,Argentina, ,2,0,1948,NED,ARG
1974,26 Jun 1974 - 19:30,Group B,Neckarstadion,Sweden,0,1,Poland, ,0,1,2167,SWE,POL
1974,30 Jun 1974 - 16:00,Group A,Niedersachsenstadion,Argentina,1,2,Brazil, ,1,1,1945,ARG,BRA
1974,30 Jun 1974 - 16:00,Group B,Waldstadion,Poland,2,1,Yugoslavia, ,1,1,2170,POL,YUG
1974,30 Jun 1974 - 16:00,Group A,Parkstadion,German DR,0,2,Netherlands, ,0,1,2067,GDR,NED
1974,30 Jun 1974 - 19:30,Group B,Rheinstadion,Germany FR,4,2,Sweden, ,0,1,2065,FRG,SWE
1974,03 Jul 1974 - 17:00,Group B,Waldstadion,Poland,0,1,Germany FR, ,0,0,2064,POL,FRG
1974,03 Jul 1974 - 19:30,Group A,Westfalenstadion,Netherlands,2,0,Brazil, ,0,0,1983,NED,BRA
1974,03 Jul 1974 - 19:30,Group A,Parkstadion,Argentina,1,1,German DR, ,1,1,1946,ARG,GDR
1974,03 Jul 1974 - 19:30,Group B,Rheinstadion,Sweden,2,1,Yugoslavia, ,1,1,2182,SWE,YUG
1974,06 Jul 1974 - 16:00,Match for third place,Olympiastadion,Brazil,0,1,Poland, ,0,0,1984,BRA,POL
1974,07 July 1974 - 16:00,Final,Olympiastadion,Netherlands,1,2,Germany FR, ,1,2,2063,NED,FRG
1978,01 Jun 1978 - 15:00,Group 2,El Monumental - Estadio Monumental Antonio Vespuci,Germany FR,0,0,Poland, ,0,0,2351,FRG,POL
1978,02 Jun 1978 - 13:45,Group 1,Estadio Jos� Mar�a Minella,Italy,2,1,France, ,1,1,2347,ITA,FRA
