Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,MatchID,Home Team Initials,Away Team Initials
1986,04 Jun 1986 - 16:00,Group E,Neza,Scotland,0,1,Denmark, ,0,0,517,SCO,DEN
1986,04 Jun 1986 - 12:00,Group E,Estadio Corregidora,Uruguay,1,1,Germany FR, ,1,0,585,URU,FRG
1986,05 Jun 1986 - 12:00,Group A,Cuauhtemoc,Italy,1,1,Argentina, ,1,1,394,ITA,ARG
1986,05 Jun 1986 - 12:00,Group C,Nou Camp - Estadio Le�n,France,1,1,Soviet Union, ,0,0,571,FRA,URS
1986,05 Jun 1986 - 16:00,Group A,Estadio Ol�mpico Universitario,Korea Republic,1,1,Bulgaria, ,0,1,460,KOR,BUL
1986,06 Jun 1986 - 12:00,Group C,Estadio Irapuato,Hungary,2,0,Canada, ,1,0,475,HUN,CAN
1986,06 Jun 1986 - 12:00,Group D,Jalisco,Brazil,1,0,Algeria, ,0,0,377,BRA,ALG
1986,06 Jun 1986 - 16:00,Group F,Tecnologico,England,0,0,Morocco, ,0,0,533,ENG,MAR
1986,07 Jun 1986 - 12:00,Group D,Tres de Marzo,Northern Ireland,1,2,Spain, ,0,2,551,NIR,ESP
1986,07 Jun 1986 - 12:00,Group B,Estadio Azteca,Mexico,1,1,Paraguay, ,1,0,680,MEX,PAR
1986,07 Jun 1986 - 16:00,Group F,Estadio Universitario,Poland,1,0,Portugal, ,0,0,701,POL,POR
1986,08 Jun 1986 - 12:00,Group B,Bombonera - Estadio Nemesio Diez,Iraq,1,2,Belgium, ,0,2,427,IRQ,BEL
1986,08 Jun 1986 - 16:00,Group E,Neza,Denmark,6,1,Uruguay, ,2,1,522,DEN,URU
1986,08 Jun 1986 - 12:00,Group E,Estadio Corregidora,Germany FR,2,1,Scotland, ,1,1,580,FRG,SCO
1986,09 Jun 1986 - 12:00,Group C,Nou Camp - Estadio Le�n,Hungary,0,3,France, ,0,1,567,HUN,FRA
