Team Initials,Player Name
BEL,Andre SAEYS
FRA,Andre STRAPPE
FRA,Andre TASSIN
BEL,Andre VAN DE WEYER
ITA,Andrea CARNEVALE
FRG,Andreas BREHME
AUT,Andreas HERAF
AUT,Andreas HERZOG
FRG,Andreas KOEPKE
GER,Andreas KUPFER
FRG,Andreas MOELLER
AUT,Andreas REISINGER
URS,Andrei BAL
ROU,Andrei BARBULESCU
RUS,Andrei PIATNITSKI
BUL,Andrei ZHELYAZKOV
URS,Andrei ZYGMANTOVICH
TCH,Andrej KVASNAK
YUG,Andrej PANADIC
COL,Andres ESCOBAR
CHI,Andres PRIETO
USA,Andrew AULD
JAM,Andrew WILLIAMS
TRI,ANDREWS
YUG,Andrija ANKOVIC
ESP,ANDRINUA
POL,Andrzej BUNCOL
POL,Andrzej FISCHER
POL,Andrzej IWAN
POL,Andrzej PALASZ
POL,Andrzej SZARMACH
POL,Andrzej ZGUTCZYNSKI
ANG,ANDR� MACANGA
ARG,ANDUJAR
SUI,Andy EGLI
SCO,Andy GORAM
AUT,Andy PICHLER
IRL,Andy TOWNSEND
FRA,ANELKA
ITA,Anfilogino GUARISI
ARG,Angel BARGAS
PAR,Angel BERNI
ARG,Angel BOSSIO
ARG,Angel COMIZZO
ARG,Angel GRIPPA
ARG,Angel LABRUNA
URU,Angel MELOGNO
URU,Angel Ruben CABRERA
ITA,Angelo DI LIVIO
ITA,Angelo DOMENGHINI
ITA,Angelo SCHIAVIO
ITA,Angelo SORMANI
CMR,ANGIBEAUD
CIV,ANGOUA
COL,Anibal ALZATE
URU,Anibal PAZ
ARG,Anibal TARABINI
NOR,Anker KIHLE
GHA,ANNAN
HUN,Antal KOTASZ
HUN,Antal NAGY
HUN,Antal ROTH
HUN,Antal SZABO
HUN,Antal SZALAY
HUN,Antal SZENTIMIHALYI
CRO,Anthony SERIC
FRA,Antoine CUISSARD
ROU,Anton DOBOS
AUT,Anton JANDA
TCH,Anton KRASNOHORSKY
TCH,Anton MALATINSKY
TCH,Anton MORAVCIK
AUT,Anton PFEFFER
SWE,ANTONELIUS
ITA,Antonello CUCCUREDDU
POL,Antoni GALECKI
POL,Antoni LYKO
POL,Antoni SZYMANOWSKI
TCH,Antonin FLESAR
TCH,Antonin PANENKA
TCH,Antonin PUC
TCH,Antonin VODICKA
URU,Antonio ALZAMENDI
CHI,Antonio ARIAS
ITA,Antonio BENARRIVO
ESP,Antonio BETANCOURT
ESP,Antonio BIOSCA
PAR,Antonio CABRERA
ITA,Antonio CABRINI
MEX,Antonio CARBAJAL
ITA,Antonio CONTE
ESP,Antonio DE LA CRUZ
MEX,Antonio DE LA TORRE
ITA,Antonio DI GENNARO
MEX,Antonio FLORES
BOL,Antonio GRECCO
ESP,Antonio GUZMAN
MEX,Antonio JASSO
ITA,Antonio JULIANO
ESP,Antonio MACEDA
PER,Antonio MAQUILON
MEX,Antonio MOTA
MEX,Antonio MUNGUIA
ESP,Antonio OLMO
SUI,Antonio PERMUNIAN
ESP,Antonio PUCHADES
COL,Antonio RADA
ESP,Antonio RAMALLETS
ARG,Antonio RATTIN
ARG,Antonio ROMA
POR,ANTONIO SIMOES
POR,ANTONIO SOUSA
BOL,Antonio VALENCIA
GRE,Antonis MINOU
ESP,ANTUNEZ
INH,Anwar SUTAN
URS,Anzor KAVAZASHVILI
GER,AOGO
JPN,AOYAMA
ITA,AQUILANI
BRA,ARAKEN
ESP,ARANZABAL
ESP,ARBELOA
ARG,Arcadio LOPEZ
PAR,ARCE
SCO,Archie GEMMILL
SCO,Archie ROBERTSON
CRO,Ardian KOZNIKU
ITA,Ardico MAGNINI
RSA,ARENDSE
